"timestamp","video_id","toia_id","user_id","question","rating","video_language","interactor_language","similarity_score","subject"
"1682500245158","Zyad_5_215_5ba20de7.mp4","5","11","What is your name?","5","en-US","en-US","0.409903","Dialogue"
"1682500245330","Zyad_5_215_5ba20de7.mp4","5","11","What is your name?","5","en-US","en-US","0.409903","Subtitles"
"1682500247061","Zyad_8_229_2cba727f.mp4","8","11","What is your name?","5","ar-AE","en-US","0.835117","Subtitles"
"1682500247062","Zyad_8_229_2cba727f.mp4","8","11","What is your name?","5","ar-AE","en-US","0.835117","Dialogue"
"1682500341805","Zyad_5_214_c08bc279.mp4","5","11","Where were you? Born?","1","en-US","en-US","0.513753","Dialogue"
"1682500341946","Zyad_5_214_c08bc279.mp4","5","11","Where were you? Born?","1","en-US","en-US","0.513753","Subtitles"
"1682500343822","Zyad_8_230_948f8af1.mp4","8","11","Where were you? Born?","5","ar-AE","en-US","0.651956","Dialogue"
"1682500343823","Zyad_8_230_948f8af1.mp4","8","11","Where were you? Born?","5","ar-AE","en-US","0.651956","Subtitles"
"1682500401425","Zyad_5_257_a60d6b09.mp4","5","11","Do you have any siblings?","1","en-US","en-US","0.330594","Dialogue"
"1682500401432","Zyad_5_257_a60d6b09.mp4","5","11","Do you have any siblings?","1","en-US","en-US","0.330594","Subtitles"
"1682500402877","Zyad_8_262_3ea1fcde.mp4","8","11","Do you have any siblings?","1","ar-AE","en-US","0.369248","Dialogue"
"1682500402878","Zyad_8_262_3ea1fcde.mp4","8","11","Do you have any siblings?","5","ar-AE","en-US","0.369248","Subtitles"
"1682500502036","Zyad_8_231_0a19b2f3.mp4","8","11","Where do you usually study?","1","ar-AE","en-US","0.503796","Dialogue"
"1682500502037","Zyad_8_231_0a19b2f3.mp4","8","11","Where do you usually study?","5","ar-AE","en-US","0.503796","Subtitles"
"1682500503542","Zyad_5_215_5ba20de7.mp4","5","11","Where do you usually study?","1","en-US","en-US","0.498484","Subtitles"
